idx_song,lyrics,year,decade
1950_24.txt,"Nadie te ha querido como yo 
Nadie te ha ofrecido tanto amor 
Nadie te ha enseñando de la vida más que yo 
Nadie, mi amor, buscó tu amor con tanto amor 
Un atardecer llegaste a mi 
Como primavera a mi jardín 
A la luz de candilejas yo me enamoré 
Era tu amor tal como yo lo imaginé. 
Cada vez que te miraba no podía ver 
En tu mirar, que tanto amor iba a perder 
Y hoy te vas de mi para olvidar 
Qué será de ti, a dónde irás 
Más que yo nadie, mi amor 
Busco tu amor con tanto amor 
Y aunque sé que nunca volverás 
Yo te esperaré una eternidad 
Y si algunas vez te acuerdas 
Y quieres volver 
Aquí estaré, aquí mi amor 
Igual que ayer.",1953,1950
1950_25.txt,"El momento ya llegó de separarnos. 
En silencio y el corazón dice y suspira: 
Vaya con Dios, mi vida.
Vaya con Dios, mi amor. 
Las campanas de la iglesia suenan tristes, 
Y parece que al sonar también te dicen
Vaya con Dios, mi vida. 
Vaya con Dios, mi amor. 
Adónde vayas tú yo iré contigo. 
En sueños junto a ti siempre estaré. 
Mi voz escucharás, dulce amor mío. 
Pensando como yo estarás volvernos siempre a ver. 
La alborada al despertar te dice
Espera. 
Sin tu corazón yo voy adónde quieras. 
Vaya con Dios, mi vida. 
Vaya con Dios, mi amor. 
¡Vaya con Dios, mi vida! 
¡Vaya con Dios, mi amor!",1953,1950
1950_26.txt,"Señor, eterno Dios
Ante tu altar hoy vengo suplicante
A rogar por el alma de mi amada
Que la muerte tan cruel me arrebatara
Yo sé que tu poder es infinito
Que eres igual con pobres y con ricos
Y es por eso que en ti busco el consuelo
Para este corazón que está marchito
Si estoy dormido la sueño
Si estoy despierto la miro
Y por donde quiera que ando
Su recuerdo va conmigo
Llorando paso las noches
Paso las noches llorando
Para mí el sol no brilla
Entre sombras voy vagando
Señor, eterno Dios
Ante tu altar estoy aquí de hinojos
Ella se fue y yo quiero morirme
Perdonamos Señor y ruega por nosotros.",1953,1950
1950_27.txt,"Señor, eterno Dios
Ante tu altar hoy vengo suplicante
A rogar por el alma de mi amada
Que la muerte tan cruel me arrebatara
Yo sé que tu poder es infinito
Que eres igual con pobres y con ricos
Y es por eso que en ti busco el consuelo
Para este corazón que está marchito
Si estoy dormido la sueño
Si estoy despierto la miro
Y por donde quiera que ando
Su recuerdo va conmigo
Llorando paso las noches
Paso las noches llorando
Para mí el sol no brilla
Entre sombras voy vagando
Señor, eterno Dios
Ante tu altar estoy aquí de hinojos
Ella se fue y yo quiero morirme
Perdonanos Señor y ruega por nosotros.",1954,1950
1950_28.txt,"Pasaste a mi lado
Con gran indiferencia
Tus ojos ni siquiera
Voltearon hacia mí
Te vi sin que me vieras
Te hablé sin que me oyeras
Y toda mi amargura
Se ahogó dentro de mí
Me duele hasta la vida
Saber que me olvidaste
Pensar que ni desprecios
Merezca, yo, de ti
Y, sin embargo, sigues
Unida a mi existencia
Y si vivo cien años
Cien años, pienso en ti
Pasaste a mi lado
Con gran indiferencia
Tus ojos ni siquiera
Voltearon hacia mí
Te vi sin que me vieras
Te hablé sin que me oyeras
Y toda mi amargura
Se ahogó dentro de mí
Me duele hasta la vida
Saber que me olvidaste
Pensar que ni desprecios
Merezca, yo, de ti
Y, sin embargo, sigues
Unida a mi existencia
Y si vivo cien años
Cien años, pienso en ti",1954,1950
1950_29.txt,"No existe un momento del día
En que pueda apartarme de ti
El mundo parece distinto
Cuando no estás junto a mí
No hay bella melodía
En que no surjas tú
Ni yo quiero escucharla
Si no la escuchas tú
Es que te has convertido
En parte de mi alma
Ya nada me consuela
Si no estás tú también
Más allá de tus labios
Del Sol y las estrellas
Contigo en la distancia
Amada mía, estoy
En parte de mi alma
Ya nada me consuela
Si no estás tú también
Más allá de tus labios
Del Sol y las estrellas
Contigo en la distancia
Amada mía, estoy",1954,1950
1950_30.txt,"Tres días sin verte mujer,
Tres días llorando tu amor,
Tres días que miro el amanecer
Nomás tres días yo te amé
Y en tu mirar me perdí
Y hace tres días que no sé de ti.
¿dónde, dónde estás?
¿con quién me engañas?,
¿dónde, dónde estás?
¿qué estás haciendo?
Tres días que no sé
Que es alimento
Sólo tomando
Me he podido consolar.
Ay, ay, ay, ay, ay,
Ay, ay, ay, ay, ay,
Ay, ay, ay, ay, ay,
Tu amor me va a matar
Ay, ay, ay, ay, ay,
Yo qué voy a hacer
Si me niegas, alma mía,
Tu querer.",1954,1950
1950_31.txt,"Suave que me estás matando
que estás acabando com mi juventud
yo quisiera haberte sido infiel
y pagarte con una traición
eres como una espinita
que se me ha clavado en el corazón
suave que me estás sangrando
que me estás matando de pasión
Yo que sufro por mi gusto
este cruel martirio
que me da tu amor
no me importa lo que me hagas
si en tus besos vive todo mi ilusión
y que pase lo que pase
este pecho amante es no más de ti
aunque yo quisiera no podré olvidarte
porque siempre vas dentro de mi.",1954,1950
1950_32.txt,"He encontrado en tu amor 
La fe perdida 
Ahora tiene mi vida una razón 
No sé si fue el embrujo de tus ojos 
Quien le dijo a tus labios 
Róbale el corazón verse 
Yo sé que los mil besos que te he dado en la boca 
Se me fue el corazón 
Y dicen que es pecado querer como te quiero 
Quizá tengan razón verse 
Pero, ¿qué ha de importarme todo lo que me digan si no te he de olvidar?
Que si es pecado amarte 
Yo he de seguir pecando 
¿Por qué lo he de ocultar?  
Te he de seguir amando 
Te he seguir besando aunque me vuelva loca 
Hasta que me devuelvas 
El corazón que en besos 
Yo te dejé en la boca",1955,1950
1950_33.txt,"Nunca más podré olvidarte 
Aunque estes lejos de mi 
Muchachita de ojos tristes 
Muchachita tu te fuistes 
Y jamás te volví a ver 
Nunca más podré olvidarte 
Aunque te olvides de mi 
Mi gorrión mi paz mi lecho 
Tu recuerdo esta en mi pecho 
Y te quiero mucho más 
Yo te quiero a pesar que tu no estas 
Y me muero en esta triste soledad 
Quien té esta queriendo 
Quien té esta besando 
Quien ocupa mi lugar.",1955,1950
