Decade,Year,IssueDate,Song,Artist,Lyrics
1950,1951,September,"""Usted""",Gabriel Ruiz & José Antonio Zorrilla,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted"
1950,1951,October,"""Usted""",Gabriel Ruiz & José Antonio Zorrilla,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted"
1950,1951,November,"""Cuando el destino""",José Alfredo Jiménez,"No vengo a pedirte amores
ya no quiero tu cariño
Si una vez te amé en la vida no lo vuelvas a decir
Me contaron tus amigos
que te encuentras muy dolida
Que maldices a tu suerte
porque piensas mucho en mi
Es por eso que he venido a reirme de tus penas
Yo que ha dios le había pedido que te hundiera mas que a mi
Dios me ha dado ese capricho
y he venido a verte un día
Pa` que sepas tu en la vida
lo que tú me hiciste a mi
Ya lo ves como el destino
todo cobra nada olvida
Ya lo ves como un cariño nos arrastra y los humilla
Que bonita es la venganza
cuando dios nos la concede
Ya sabía en la revancha te tenía que hacer perder
Ahi te dejo mis desprecios
yo que tanto te adoraba
Pa´que veas cual es el precio de las leyes del querer"
1950,1951,December,"""Carta a Eufemia""",Rubén Fuentes & Rubén Méndez,"Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo
Y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor
Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo, y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor"
1950,1952,January,"""Carta a Eufemia""",Rubén Fuentes & Rubén Méndez,"Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo
Y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor
Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo, y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor"
1950,1952,February,"""Carta a Eufemia""",Rubén Fuentes & Rubén Méndez,"Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo
Y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor
Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo, y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor"
1950,1952,March,"""Amor, qué malo eres""",Luis Marquetti,"Te duele saber de mi
Amor, amor que malo eres
Quien iba a imaginar que una mentira
Tuviera cabida en un madrigal
No quieres saber quien soy
Después de darte lo que tienes
Ahora para ti soy vagabundo
Que va por el mundo como un criminal
Por haber querido tanto
Es mi desesperación
La voz del corazón llegara
A tu conciencia como una maldición
Te duele saber de mi
Amor cuidado con la vida
Las torres que del cielo se creyeron
Un día cayeron en la humillación
Te duele saber de mi
Amor, amor que malo eres
Quien iba a imaginar que una mentira
Tuviera cabida en un madrigal
No quieres saber quien soy
Después de darte lo que tienes
Ahora para ti soy vagabundo
Que va por el mundo como un criminal
Por haber querido tanto
Es mi desesperación
La voz del corazón llegara
A tu conciencia como una maldición
Te duele saber de mi
Amor cuidado con la vida
Las torres que del cielo se creyeron
Un día cayeron en la humillación
Amor"
1950,1952,April,"""El plebeyo""",Felipe Pinglo Alva,"La noche cubre ya con su negro crespón
De la ciudad las calles que cruza la gente
Con pausada acción
La luz artificial con débil proyección
Propicia la penumbra que esconde en su sombra
Venganza y traición
Después de laborar, vuelve a su humilde hogar
Luis Enrique, el plebeyo, el hijo del pueblo
El hombre que supo amar
Y que sufriendo está esa infamante ley
De amar a una aristócrata siendo plebeyo él
Trémulo de emoción, dice así en su canción
El amor, siendo humano, tiene algo de divino
Amar no es un delito porque hasta Dios amó
Y si el cariño es puro y el deseo es sincero
¿Por qué robarme quieren la fé del corazón?
Mi sangre, aunque plebeya, también tiñe de rojo
El alma en que se anida mi incomparable amor
Ella de noble cuna y yo humilde plebeyo
No es distinta la sangre ni es otro el corazón
Señor ¿por qué los seres no son de igual valor?"
1950,1952,May,"""El plebeyo""",Felipe Pinglo Alva,"La noche cubre ya con su negro crespón
De la ciudad las calles que cruza la gente
Con pausada acción
La luz artificial con débil proyección
Propicia la penumbra que esconde en su sombra
Venganza y traición
Después de laborar, vuelve a su humilde hogar
Luis Enrique, el plebeyo, el hijo del pueblo
El hombre que supo amar
Y que sufriendo está esa infamante ley
De amar a una aristócrata siendo plebeyo él
Trémulo de emoción, dice así en su canción
El amor, siendo humano, tiene algo de divino
Amar no es un delito porque hasta Dios amó
Y si el cariño es puro y el deseo es sincero
¿Por qué robarme quieren la fé del corazón?
Mi sangre, aunque plebeya, también tiñe de rojo
El alma en que se anida mi incomparable amor
Ella de noble cuna y yo humilde plebeyo
No es distinta la sangre ni es otro el corazón
Señor ¿por qué los seres no son de igual valor?"
1950,1952,June,"""Nube gris""",Eduardo Márquez Talledo,"Si me alejo de ti
Es porque he comprendido
Que soy la nube gris
Que nubla tu camino
Me voy para dejar
Que cambie tu destino
Que seas muy feliz
Mientras yo busco olvido
Y otra vez volveré a ser
El errante trovador
Que va en busca de otro amor
Del amor de una mujer
Se perdió el celaje azul
Donde brillaba la ilusión
Vuelve la desolación
Vivo sin luz
Si me alejo de ti
Es por que yo quisiera
Que seas muy feliz
Aunque mi amor se muera
Me voy sin perturbar
Tus sueños tan queridos
Me voy con el pesar
De no ser comprendido
Y otra vez volveré a ser
El errante trovador
Que va en busca de otro amor
Del amor de una mujer
Se perdió el celaje azul
Donde brillaba la ilusión
Vuelve la desolación
Vivo sin luz"
